Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"Bank credit, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1001NLGDM,B1001NLGDM,4130217,4162703.5,4184286.6,4201520.2,4244740.1,4255825.1,4288350.8,4329891.2,4349795.5,4362050.1,4385673.4,4410568.1,4434483.4,4480015.9,4497067.8,4562070.3,4621610.7,4638115.9,4656272.9,4684218.5,4688706.3,4823250.4,4872798.6,4904799.8,4916090.6,4940955.1,4943560.2,4968994.1,5003651.9,5031104.8,5051171.7,5126712.5,5199225,5247522.6,5315693.3,5331723.1,5332827,5345472.1,5381697.3,5403595.1,5415566.4,5403191.9,5386636.1,5383681.1,5528372,5861316.1,5817095.2,5741398.9,5710550.3,5709362.3,5671147.2,5649198.9,5713603.4,5713646.9,5649747.7,5636212.2,5598115.6,5546897.8,5626501.5,5619123.7,5584112,5534105.8,5578584.6,5849710.4,5811893.3,5780990.5,5796414.2,5840212.2,5855396.8,5862899.6,5874593.3,5855460.4,5799127,5738510.1,5730203.1,5742117.4,5733564.3,5729238.2,5733071.9,5788869.1,5834240.9,5869227.3,5899360.8,5924718.9,5936350.5,5938261.8,5937965.9,5967382.4,5985906.4,5993658.9,6034282.6,6067024.2,6102487.8,6121946.9,6191803.7,6247493.7,6243417.3,6214613.6,6201746.4,6256075.5,6249379.5,6248133.2,6211920.3,6201473,6209311.9,6231937.4,6256958.9,6301048.9,6302572.5,6325722.6,6345763.2,6384382.1,6423055.4,6456986.3,6487574.7,6526621.9,6578005.4,6601822.7,6655097.5,6730388,6799042.8,6822278.3,6840094.5,6882446,6931237.4,6960275.3,6959788.1,7000090.4,7020550.5,7071146.5,7144598.8,7202153.8,7214304.1,7240491.8,7266358.3,7318203.7,7365499.2,7397514.6,7448868.2,7482664.8,7543825.8,7607066.1,7632125.5,7638457.7,7635461.6,7632122.2,7616307.5,7639797,7669941.4,7667034,7682959.9,7698358,7723432.3,7765297.2,7792016.5,7824468.2,7794214.7,7756849.2,7737756.1,7746647.5,7751807.6,7806630,7823370.2,7835733.2,7853276.9,7889034.2,7945557.9,8045124.8,8072284.6,8062762.2,8077549.4,8130635.8,8158883.9,8219709.6,8246497.8,8310958.6,8385577.9,8431313.2,8509136.6,8524982,8505527.3,8520993.5,8810954.1,8978654.6,8957689.5,8959423,8991490.2,9020777.7,9029964.1,9055007.4,9161852.1,9191836.8,9200944,9221776.1,9281300.2,9354594.7,9428176,9468987.3,9498457.2,9569998.6,9623696.5,9760962,9897469.2,10015421.9,10092292.6,10104629.5,10153650.8,10221746.6,10265847.7,10305363.5,10327513.7,10340073.7,10294004.8,10286838.5,10320165.4,10340310.8,10304189.1,10278661.2,10254746.7
"Securities in bank credit, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1002NLGDM,B1002NLGDM,1028850.4,1062448.4,1070014.8,1065924,1094575.6,1070185.2,1069125.3,1063423.2,1051063.4,1041106,1035969.7,1031681.4,1044052.9,1075229.4,1080036.1,1109911,1120725.1,1121267,1128118.3,1136597.1,1119993.7,1137170.3,1151071.5,1143259.9,1144866.5,1158754.7,1169818,1163518,1162058.4,1160216.7,1162644.7,1187221.3,1200563.7,1181507.6,1203423.2,1190709,1169289.7,1174348.4,1191715.5,1195709.7,1218100.6,1234491.4,1223176.6,1221698.2,1271497.5,1389845.4,1361917,1299485.2,1322598.4,1333938.7,1349587.4,1338754.5,1371945.5,1412804.3,1413915.6,1443306.8,1457156.6,1450017.2,1473487.2,1500518.2,1507379.6,1511214.4,1511449.9,1500725.4,1485103.2,1473622.7,1517166.4,1560398,1585325.5,1606709.7,1611251.1,1568323.3,1557723.4,1535048.6,1551093.2,1562131.8,1550821.7,1537298.5,1532491,1564665.7,1594098.9,1608085.6,1614573.5,1609186.4,1621515.8,1637802.3,1645174,1656063.7,1658591.3,1662250.8,1693893.2,1706638.5,1722808.6,1730523.1,1760368.9,1780867.6,1764019.2,1752787,1755493.2,1790827,1781924.4,1762256.9,1738167.7,1730810.8,1727449,1740979.7,1753957.6,1762182.7,1768274.4,1781358.3,1802667.5,1814122.4,1828290.3,1829961.1,1847810,1860356.8,1891396.9,1909589.4,1938835.1,1973301.2,1999837.7,2025950,2027691,2041091.7,2061251.8,2047759.1,2032680.8,2043981.5,2041788.7,2059942.2,2088448.8,2097209.4,2099518.5,2104005.8,2101008.3,2123737.8,2139908.1,2139997.8,2165505.7,2190127.2,2223480.4,2254370.9,2262001.6,2249385.1,2257721.9,2266504.9,2265586.2,2273369.4,2282100.6,2263016.9,2262548.5,2272170.3,2280976.7,2301994.6,2314348.2,2312064.2,2300770.6,2273246.2,2256139.5,2238258.9,2242553.5,2261562.6,2274441.2,2285716.2,2284920.7,2293353.9,2322954.3,2358567.5,2384180.7,2380108.3,2395875,2436535,2442047,2473254.9,2492752.6,2538247.8,2599890,2621890.7,2674551.3,2651336.1,2648629.1,2666925.3,2763616.6,2776262.6,2795052.4,2900361.9,3004588.4,3084681.6,3134311.4,3208461.3,3319345.4,3333452.6,3385512.9,3430573.9,3512465.3,3596273.2,3653027.3,3685505.8,3701210.9,3750213.2,3785665.6,3892147,3973499.4,3990490.4,4057837.6,4058974.7,4049707.2,4046876,4015084.2,3968435.1,3950260.8,3926040.2,3852598.6,3803719.3,3796530.8,3775504.8,3777429.4,3758062.8,3715101.3
"Treasury and agency securities, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1003NLGDM,B1003NLGDM,705777.6,730469.3,732400.5,723350,732789.1,703631.8,705101.3,698569,687767,687426.9,685430.2,676042.4,686262.1,714588.6,718435.9,742306.8,746462,746473.2,748718.1,753518.7,734675.3,747369.1,752644.9,734275.8,736634.2,746785.6,755375.3,738167.1,729084.8,723326.6,724423.5,723434.7,705928.5,674082.3,684648.1,678618.7,661252.6,666253.2,684645.8,673450.6,679790.8,696399.5,698480,717742.8,732194.8,802540.6,839366.9,807065.5,825288.5,817029.5,825770.7,807621.7,809868.4,852924.3,874922.9,901809.9,913876.2,903866.7,926607.9,950565.7,952487.9,968916.3,983638.6,999081,988907.1,984961.9,1030589.4,1071780.6,1088189.7,1108869.9,1118465.6,1092346,1083309.4,1062582.4,1075366.4,1095381,1082377.6,1069433.5,1063053,1084204.5,1100918.6,1113907.9,1114991.9,1111509,1118422.9,1133877.9,1151205.4,1168671.2,1172351.5,1174414.1,1202247.7,1210514.2,1209314.1,1208243.3,1231064.1,1245348.2,1226922.3,1218353.6,1218642.4,1246535,1232524.9,1219426,1188968.1,1173716.3,1170322.4,1178420.9,1189443.9,1194105.4,1204740.6,1219504.9,1239436.2,1255916.5,1272744.5,1274122.8,1291827.7,1308129.8,1344455.1,1363967.8,1388078.7,1418737.8,1446643.8,1472946.3,1472808.2,1482050.1,1505543.3,1496503.1,1486867,1498774.8,1503787,1521229.9,1548005.2,1555447.7,1554824.5,1558230.6,1553878.7,1575020.3,1591056.4,1587236,1611143.6,1632724,1661721.9,1691335.5,1706532.2,1699046.9,1710525.1,1716224.6,1711769.6,1716564.4,1728684.4,1712867.8,1717500.8,1726664.1,1734607.1,1757088,1767695.9,1765568,1754848.3,1734829.7,1727910,1731297.1,1741988.6,1758262.9,1768692.4,1777012.2,1780182.6,1792000.4,1825473.9,1876182.6,1906580.6,1903147.5,1918281.4,1946535.6,1956689.1,1988402.3,2011550.9,2058954.8,2114448.1,2134492.4,2182720.4,2159916.9,2161782.3,2175561.2,2273973.7,2284126.9,2314328,2411449.9,2505349.5,2585061.9,2631456.1,2695630.8,2799847.6,2817881.8,2884284.2,2925331.1,2978833.2,3026647.8,3076767.2,3108629.2,3130028.3,3180023.7,3208542.4,3305889.2,3381353.2,3393651.6,3466647.4,3464300.4,3432767.5,3410964.2,3389947.6,3348103.5,3333129.2,3316032.2,3254871.1,3217376.6,3211042,3191582.9,3180044.8,3166624.1,3129454.8
"Treasury and agency securities: Mortgage-backed securities (MBS), large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1301NLGDM,B1301NLGDM,533713.5,540356.6,542994.3,543829.9,549375.3,523522.7,527865.6,524619.9,522883.3,519181,519567.2,520156.2,540662.8,561491.3,569489.1,583826.4,595221.8,600418.5,608460.2,614746.2,598695.8,605959.5,609504.7,601761.9,602950.4,616068.4,623886.6,607122.1,597679.1,589354.9,588216,586676.2,570619.7,541842,548106,545232.8,538195.9,549482.6,569154,567561.7,581696.4,598416.5,611432.2,634094.4,645616.3,683244.7,715043.1,692598.9,703436.5,688589.5,683173.6,667014.8,662108.5,697295.6,705663.7,708129.6,710330.5,702979.5,721098.6,731352.1,729202.2,737532.1,727897.6,726981.1,725194.3,719041.1,750790.6,766668.6,777744.3,800085.4,823053.5,804966.6,800676.6,789260.2,793728.2,813912.2,811293.3,814214.2,820643.5,835875.2,854098.9,868652,878954.3,886447.3,895468.4,905389.8,921588.2,937338.2,932588.5,927429.9,930027.1,937407.6,940818.7,933564.8,945310.3,952199.6,943346.7,942797,941088.2,972370.1,971112.5,968639.4,960301.8,945411.6,943259.2,946260.6,953996.5,946391.5,947944.4,956237.6,957400.5,956721.8,962826.7,960240.9,964231.9,966498.7,983250.2,997247.4,1003421.1,1006652.7,1021099.5,1041520.5,1053018.4,1059680.8,1074471.5,1076878.6,1077530.5,1096538.9,1106399.4,1127166.8,1143447.2,1145599.7,1132747.1,1133197.4,1132454.4,1148904.1,1160007.5,1159244.3,1171139.2,1192111.3,1209522.4,1227028.2,1231653.4,1224652.2,1228173.1,1234038.7,1233903.5,1241012.8,1261504,1272308,1283231.8,1291593.5,1302012.8,1315432.2,1324665.3,1322812.6,1308837.9,1293222.4,1290651.1,1294923.4,1306714.7,1320303.8,1327075.9,1334638.9,1334240.9,1337433.7,1357544.7,1382136.3,1406398,1412762.5,1421008.6,1444736.4,1448669.4,1468776.7,1471742.4,1481556.1,1506938.3,1522403,1549177.6,1525173,1539528.8,1544727.9,1592827.5,1638577.7,1636194.4,1632205.3,1662618.7,1724559.9,1714941.8,1767009.9,1844950.7,1860951.3,1902785.5,1940511.8,1970105.5,1993846,2024018.4,2028199.5,2036679.6,2061192.2,2061225.8,2072677.2,2078227.1,2072788.8,2116291.6,2123350,2110119.3,2090998,2067201,2034252.5,2030754.3,2031074.2,2003367.8,1976351.3,1972290.2,1967579,1960177.1,1965416.1,1957075.7
"Treasury and agency securities: Non-MBS, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1302NLGDM,B1302NLGDM,172064.2,190112.7,189406.2,179520.1,183413.9,180109.2,177235.8,173949.1,164883.7,168245.9,165863,155886.2,145599.3,153097.3,148946.8,158480.5,151240.2,146054.7,140257.9,138772.4,135979.5,141409.6,143140.2,132513.9,133683.8,130717.2,131488.7,131045,131405.7,133971.7,136207.5,136758.5,135308.8,132240.3,136542.1,133385.9,123056.7,116770.6,115491.7,105888.9,98094.4,97983,87047.8,83648.4,86578.5,119296,124323.8,114466.5,121852,128440.1,142597.1,140606.9,147760,155628.8,169259.2,193680.3,203545.7,200887.2,205509.3,219213.6,223285.7,231384.2,255741.1,272099.9,263712.8,265920.8,279798.8,305112,310445.3,308784.4,295412.1,287379.5,282632.8,273322.2,281638.2,281468.7,271084.3,255219.3,242409.5,248329.4,246819.7,245255.8,236037.6,225061.7,222954.5,228488,229617.2,231333,239762.9,246984.2,272220.6,273106.6,268495.4,274678.5,285753.7,293148.6,283575.6,275556.6,277554.2,274164.9,261412.4,250786.6,228666.3,228304.8,227063.1,232160.3,235447.4,247713.9,256796.2,263267.3,282035.7,299194.7,309917.8,313882,327595.8,341631.1,361204.9,366720.4,384657.6,412085.1,425544.4,431425.7,419789.7,422369.3,431071.8,419624.5,409336.5,402235.9,397387.6,394063.1,404558,409848,422077.4,425033.2,421424.4,426116.1,431048.9,427991.8,440004.3,440612.7,452199.5,464307.3,474878.7,474394.7,482352,482186,477866,475551.5,467180.4,440559.8,434269,435070.6,432594.3,441655.9,443030.7,442755.4,446010.4,441607.3,437258.9,436373.7,435274,437959.1,441616.6,442373.3,445941.6,454566.8,467929.1,494046.3,500182.6,490385,497272.8,501799.2,508019.6,519625.5,539808.5,577398.7,607509.8,612089.5,633542.7,634743.9,622253.5,630833.3,681146.1,645549.2,678133.6,779244.5,842730.7,860502,916514.3,928620.8,954896.9,956930.6,981498.7,984819.4,1008727.7,1032801.8,1052748.7,1080429.7,1093348.8,1118831.5,1147316.6,1233212,1303126.1,1320862.8,1350355.8,1340950.4,1322648.2,1319966.2,1322746.6,1313851,1302374.9,1284958,1251503.2,1241025.3,1238751.8,1224003.9,1219867.7,1201208,1172379.1
"Other securities, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1011NLGDM,B1011NLGDM,323072.8,331979.1,337614.3,342574,361786.5,366553.4,364023.9,364854.2,363296.4,353679.1,350539.5,355638.9,357790.8,360640.7,361600.2,367604.2,374263.1,374793.9,379400.3,383078.5,385318.4,389801.2,398426.6,408984.1,408232.3,411969.2,414442.8,425350.9,432973.6,436890.1,438221.2,463786.6,494635.2,507425.3,518775.1,512090.3,508037.1,508095.3,507069.7,522259.1,538309.8,538091.9,524696.5,503955.4,539302.7,587304.8,522550.1,492419.7,497310,516909.1,523816.7,531132.8,562077,559879.9,538992.6,541496.9,543280.4,546150.5,546879.3,549952.6,554891.6,542298.1,527811.2,501644.4,496196.1,488660.8,486577,488617.5,497135.8,497839.8,492785.5,475977.3,474414,472466.2,475726.8,466750.9,468444.1,467864.9,469438,480461.2,493180.3,494177.7,499581.5,497677.4,503092.9,503924.5,493968.6,487392.6,486239.8,487836.6,491645.5,496124.3,513494.5,522279.7,529304.9,535519.4,537096.9,534433.3,536850.9,544292,549399.5,542830.9,549199.6,557094.5,557126.7,562558.8,564513.7,568077.3,563533.8,561853.4,563231.4,558205.9,555545.8,555838.2,555982.3,552227.1,546941.9,545621.7,550756.4,554563.3,553193.9,553003.7,554882.8,559041.6,555708.5,551256,545813.8,545206.8,538001.7,538712.3,540443.6,541761.6,544694,545775.2,547129.6,548717.5,548851.6,552761.8,554362.1,557403.2,561758.5,563035.4,555469.4,550338.2,547196.8,550280.3,553816.6,556805.1,553416.2,550149.1,545047.7,545506.2,546369.6,544906.6,546652.3,546496.2,545922.3,538416.5,528229.5,506961.7,500564.9,503299.7,505748.8,508704,504738.2,501353.5,497480.5,482384.9,477600.1,476960.9,477593.6,489999.5,485358,484852.7,481201.7,479293,485441.9,487398.2,491830.9,491419.2,486846.9,491364.2,489642.9,492135.7,480724.4,488912.1,499239,499619.7,502855.3,512830.6,519497.8,515570.7,501228.7,505242.8,533632.1,569625.4,576260.1,576876.6,571182.5,570189.5,577123.2,586257.7,592146.3,596838.8,591190.3,594674.3,616939.6,635911.8,625136.6,620331.6,617131.7,610008,597727.5,586342.6,585488.7,583922,597384.6,591438.7,585646.5
"Other securities: Mortgage-backed securities, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1303NLGDM,B1303NLGDM,102907.5,109155.9,110683.3,111884.9,118395.1,121368.2,122010,123577.2,124615.7,127406.1,132271.9,129691.8,120537,117870.6,117230.7,117046.5,119027.7,120235.4,120290.7,122897.4,121350.8,119630.8,118597.6,125090.5,132154.9,135617.6,134238.1,138125.4,134452.2,135352.6,131073.6,134367.4,141806.6,155085.2,172852.6,187281.2,193143.5,192999.9,192848.6,197471.2,200053.7,199042.9,199516.6,191294.9,189073,188597.6,168686.1,157667.5,163365.3,161385.6,156840,160920.4,171989.5,173468.7,177477.6,178622.2,180273,177831.8,178525.2,175969.1,177612.8,174524.6,169251.5,159102,154562.6,148821.2,146415.7,144566.2,140926.6,138577.5,137437.1,130378.8,127249,126962.6,128772.7,122961.2,122996.3,119341.2,113020.7,113748.5,113153.6,113814.9,113290.5,111009,110160.6,110857.7,107896.5,111989.4,110134.2,110539.1,111986.2,113990.4,114496.1,114903.9,118934.1,117914.1,117746.7,117789.4,117069.3,116764.8,118093.6,117267.8,118598.7,120983.6,119007.2,118337.8,118992.6,117528.8,116986.3,115720.4,114842.1,113888.8,112072.7,110754.9,110444.6,110013.5,109407.1,109907.7,109843.1,110820.3,110184.9,109211.4,110418.9,111487.8,111092.6,108607.5,107428.2,106206,104949.2,104910.4,104047.2,103099.3,100770.7,99263.9,97697.8,95675.9,95078.1,95535.7,91598.5,88281.5,85947.3,83953.6,82180.8,80831.1,78814.4,77038.2,75787.1,76510.8,74605.9,73202.7,71845.5,70036.6,69069,68808.7,66969.2,64968.1,64314.2,64896.4,62873.7,61644.6,60170.7,60429.8,58980.4,57382.4,56999.7,56391.7,55400.9,53573.8,53357.1,54323.9,55031.6,56421.6,58037.7,57642.2,56482.9,56542.5,56020.5,55545.7,54610.7,54394.4,54177.9,58162.4,59220,59853.4,60675.1,61795.2,61554.2,59734.7,58703.4,58124,56607.4,56727.1,55260.6,54891.8,55589.7,55340.5,55399.9,55905.9,56502.5,56822.2,57380.5,59823.7,61983.1,64129.2,63449.4,65673.6,67966.9,68855.1,69826.9,69127.9,69271.6,68631.6,67465.1,66156.7,65943.4,66224.9,66156,66060.2,65909.1
"Other securities: Non-MBS, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1304NLGDM,B1304NLGDM,220165.4,222823.2,226931,230689.1,243391.4,245185.2,242013.9,241277,238680.7,226273,218267.6,225947.1,237253.8,242770.2,244369.5,250557.7,255235.4,254558.5,259109.6,260181,263967.6,270170.3,279829,283893.7,276077.3,276351.6,280204.7,287225.5,298521.4,301537.6,307147.7,329419.2,352828.6,352340.1,345922.4,324809.1,314893.6,315095.3,314221.1,324787.9,338256.2,339049,325179.9,312660.5,350229.7,398707.1,353864,334752.2,333944.7,355523.6,366976.7,370212.4,390087.6,386411.2,361515.1,362874.7,363007.4,368318.6,368354.1,373983.5,377278.8,367773.5,358559.7,342542.4,341633.5,339839.6,340161.3,344051.3,356209.2,359262.3,355348.4,345598.5,347164.9,345503.6,346954,343789.7,345447.7,348523.7,356417.3,366712.7,380026.6,380362.8,386291,386668.4,392932.2,393066.8,386072,375403.1,376105.6,377297.5,379659.3,382133.9,398998.4,407375.8,410370.8,417605.3,419350.2,416643.9,419781.6,427527.2,431305.9,425563,430600.9,436110.9,438119.5,444221,445521.1,450548.5,446547.5,446133,448389.3,444317.1,443473.1,445083.3,445537.7,442213.6,437534.8,435714,440913.3,443743.1,443009,443792.3,444463.9,447553.8,444615.9,442648.5,438385.6,439000.8,433052.5,433801.9,436396.4,438662.3,443923.3,446511.3,449431.9,453041.6,453773.5,457226.1,462763.6,469121.7,475811.2,479081.8,473288.6,469507.1,468382.4,473242.1,478029.5,480294.2,478810.3,476946.5,473202.2,475469.6,477300.6,476097.9,479683.1,481528,481608.1,473520.2,465355.7,445317.1,440394.2,442870,446768.4,451321.7,447738.5,444961.8,442079.6,428811,424243,422636.9,422562,433577.8,427320.3,427210.4,424718.8,422750.5,429421.4,431852.6,437220.2,437024.8,432669,433201.8,430422.9,432282.3,420049.3,427116.9,437684.7,439885,444151.9,454706.6,462890.4,458843.6,445968.1,450351,478042.3,514284.9,520860.2,520970.6,514680,513367.3,519742.8,526434,530163.2,532709.6,527740.9,529000.7,548972.7,567056.7,555309.7,551203.7,547860.1,541376.4,530262.4,520186,519545.4,517697.1,531228.6,525378.5,519737.5
