Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
"Consumer loans, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1029NLGDM,B1029NLGDM,602592.4,596750.4,591782.2,589460.4,586016,586328.9,586906.4,595874.7,603445.1,601821.1,603212,605128.6,609141.8,604400.1,607020.2,610000,618388.3,610345,602794.7,612158.3,616180.9,621915.9,626909.7,638119.7,642877.6,637592,626014.8,629633.4,633964.6,640276.1,637748.9,643545.2,654192.7,651131.7,661964.8,679303.8,689282.3,682902.6,677367.5,682378.7,686367.8,688639.8,694483.9,703474.7,713190.5,735803.5,742541.5,753085,770934.5,766860.3,746174.7,735276.2,728071.7,721436.8,713519.8,715054.3,715978.6,707186.4,705797.9,705581.8,699840.6,689697.7,749315.5,992620.9,983892.7,978587.4,974543.7,972790.7,962103.9,950570.4,948148.8,958459.1,923986.4,909119,897680.4,904637.3,903830.2,909541.2,909130.4,911556.1,913032.7,911664.8,914951.5,931561.2,927510.8,915169.8,907892.2,909015.3,911781.6,914214.6,910870.2,915927.4,919033.3,915873.5,916723.8,931176.1,928540.4,919740.9,909071.8,912505.9,917494.1,923969.2,920999,927021.4,929832.6,930259.2,935557.7,953198.3,950490.5,940911.1,933255.8,941070.2,948551.9,956090.9,960053,967727.8,973527.6,968681,973881.6,991021.8,984576.1,972692.5,962117,972158.4,979749.9,988153.9,994306.7,1003124.5,1010037.5,1013837.8,1021313.3,1043329.7,1043948,1032301.8,1027213.3,1035872.6,1043006.4,1058915.8,1071993.8,1081562.9,1086477.4,1089164,1095814.6,1118465.4,1115254.4,1101296.2,1089857.7,1095105.5,1098739.4,1107620.2,1112345.9,1119067.7,1127736.9,1131523.1,1141192,1162279,1156677.9,1142815.7,1129604.6,1135371,1139660.9,1149839.4,1150473.7,1157854.7,1163882.3,1166520.8,1176460.5,1196651.2,1193022.6,1183175,1172612.9,1182513.9,1192324.3,1203416.5,1208416.2,1220048.5,1226316.1,1233930.8,1244707.7,1269698.3,1263544.1,1253382.3,1241491.9,1198806.5,1176293.1,1178598.3,1182196.4,1182753.4,1183541.9,1183766.4,1188893.4,1207686.3,1197666.8,1184929.3,1170324.8,1172942.8,1189919.6,1208740.6,1220475.8,1233934.8,1241911.9,1251719.2,1268397.9,1298267.5,1295062.3,1293484.4,1297123.2,1319532.9,1333086.3,1353827.1,1366507.6,1376370.3,1386159.3,1396083.8,1404110.4,1425506.1,1415247.7,1406361.8,1401864.4
"Consumer loans: Credit cards and other revolving plans, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1247NLGDM,B1247NLGDM,276137.7,267847.5,263241.2,262149.7,260441.1,263549.8,264435,264455.8,266980.5,266500.6,270993.2,280667.6,278919.9,269319.1,261614.9,261442.6,267429.4,265024.8,266443.8,270938.5,271786.3,270664.4,275373.2,289774.1,287689.3,277923.3,267250.6,270654.3,273534.5,278100.8,276901.6,279003.1,283260.8,281668.9,291469.2,309423.7,305954.2,294614,286645.4,287299.7,288102.9,288840.5,293477.3,300013.3,308061.3,331500.6,338435.9,348467.3,355741.7,348170.1,330923.8,321775.3,313465,309146.6,310068.6,309283.7,306997.1,301226.5,300739.1,301323,288696.9,277468.8,338878,572854.6,566164.9,561224.9,556108.9,554008,550012.7,542674.4,541098.3,553265,546184.4,532359.4,522385.2,522670.8,522337.3,526603.3,524336.9,526469.7,527010.6,527728.7,530196.4,544857.7,539055.8,526171.3,518142.2,518589,521277.4,523324.2,520803.6,524011.9,524048.8,522097.8,524846.3,537942.8,533794.5,523920.1,513194.3,514233.9,517160.7,520902.4,517585.8,520282,520390,519808.3,523197.9,538949.8,534445.9,523948.4,514682.5,518698.2,523324.2,526731.3,528163.4,532990.4,534896,530618.2,535688.1,552022.9,549092.1,537679.3,527481.2,533846.7,537786.3,542652.8,546136.1,551960.9,554842.8,555674.7,560707.5,579810.3,577883.2,565137.4,558628,564280.6,568214.4,580576.9,590341.2,595864.3,599209,599221.7,604482.3,625571.9,620755.9,608507.8,598173.3,603388.2,606396.6,618130.5,620820.8,624853.5,630371.8,632226.2,640996.8,661705,655949,642333,629333.6,632639.8,637228.5,645673.2,645350.3,650874.2,653759.7,654294.9,663191.3,682744.6,675446.8,664730,652715.6,657279.7,662703.1,670179.3,670569,677308.3,678670.7,683140.9,691839.5,715250.1,706814.5,695797.2,681893.1,640531.5,620071.7,619070.3,618317.3,615967.8,614316,612872,617290.3,634296.8,621025.2,608466.3,595339,595176,606140.2,618392.3,623408.2,630427.9,633455.5,639052.3,653097.4,679232.4,673585.2,668610.8,668447.8,685172.3,696754,714188.9,725472.1,734592.9,742543,748830.8,759733.7,784493.8,778061.9,771043.7,768955.1
"Consumer loans: Other consumer loans, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3248NLGDM,B3248NLGDM,326454.6,328902.9,328541,327310.7,325574.9,322779.1,322471.5,331418.9,336464.6,335320.5,332218.8,324461,330221.9,335081.1,345405.3,348557.4,350958.9,345320.2,336350.8,341219.8,344394.6,351251.5,351536.5,348345.5,355188.3,359668.6,358764.2,358979,360430.1,362175.4,360847.3,364542.1,370931.9,369462.8,370495.6,369880.1,383328.1,388288.7,390722.1,395079,398264.9,399799.3,401006.6,403461.4,405129.3,404302.9,404105.6,404617.7,415192.9,418690.3,415250.9,413500.9,414606.7,412290.2,403451.2,405770.7,408981.5,405959.9,405058.8,404258.8,411143.6,412228.9,410437.5,419766.4,417727.8,417362.5,418434.8,418782.7,412091.2,407895.9,407050.5,405194.1,377802,376759.6,375295.2,381966.5,381492.9,382937.8,384793.4,385086.3,386022.1,383936.1,384755.1,386703.4,388455,388998.5,389750,390426.3,390504.2,390890.4,390066.6,391915.5,394984.6,393775.6,391877.5,393233.3,394745.9,395820.8,395877.6,398272,400333.4,403066.8,403413.2,406739.3,409442.6,410450.9,412359.7,414248.5,416044.6,416962.7,418573.2,422372.1,425227.8,429359.6,431889.6,434737.4,438631.6,438062.8,438193.5,438998.8,435484,435013.1,434635.8,438311.8,441963.6,445501.1,448170.6,451163.6,455194.7,458163,460605.8,463519.4,466064.8,467164.4,468585.3,471592,474792,478338.9,481652.7,485698.5,487268.4,489942.3,491332.3,492893.5,494498.5,492788.3,491684.4,491717.3,492342.8,489489.6,491525.1,494214.2,497365,499297,500195.2,500574,500728.9,500482.7,500271,502731.1,502432.4,504166.2,505123.4,506980.5,510122.6,512225.9,513269.2,513906.5,517575.9,518445,519897.2,525234.2,529621.1,533237.2,537847.2,542740.3,547645.4,550789.9,552868.2,554448.2,556729.6,557585.1,559598.7,558275,556221.4,559527.9,563879.2,566785.6,569225.9,570894.4,571603.1,573389.5,576641.6,576463,574985.8,577766.9,583779.4,590348.3,597067.6,603506.9,608456.4,612666.9,615300.5,619035.1,621477.1,624873.6,628675.4,634360.6,636332.3,639638.2,641035.5,641777.5,643616.3,647253,644376.7,641012.2,637185.8,635318,632909.2
"Consumer loans: Other consumer loans: Automobile loans, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1243NLGDM,B1243NLGDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306824.4,307126.8,307767.9,310097.3,312278,315058.2,316969.5,319005.3,322117.8,324707.4,327007.9,329150.4,330653,331716.9,333391.1,336086.3,338705.6,341357.7,344048.3,347082.9,347503.1,349235.8,350737.4,351672.2,352408.5,351094.4,350736.9,350513.3,350898.6,351851.4,353634.7,355452.2,357244.2,358766.5,359248.8,359799.6,360169.1,359337.8,358733.2,359456.5,359016.2,359363,359456.8,360067.3,360842.2,361148.7,360981,361135.5,362156.7,362366.8,363389.7,366687.5,369477,371482.4,374629.1,377778.5,381025.7,383439.3,384156.6,385029.1,387185.4,387682,389054.5,387189.9,385141.8,387971.6,391165.8,393064.7,394848.2,396814.1,397601.5,399468.8,402082.2,402306.4,403420.9,409996.3,414865.1,420187.4,425802.4,431131.3,433516.2,435513.8,436990.8,439321.1,441098.9,443016.6,444637.4,445516.9,445187.3,445564,445767.3,444863.6,444107.4,448406.7,446514.6,443361.6,439802.4,438827.1,436903.6
"Consumer loans: Other consumer loans: All other consumer loans, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1245NLGDM,B1245NLGDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128659.6,127886.4,126867.9,128214.5,129685.6,130442.9,131201.1,132158.2,133076.8,133455.6,133598,134369,135411.7,135447.5,135194.3,135505.7,136086.3,136981.1,137604.3,138615.6,139765.3,140706.5,140594.9,141221.4,142089.9,141693.9,140947.5,141204,141444.2,137638.2,137890.4,138762,140120.9,140530.5,140946.4,140774.4,140559.8,141144.9,141537.8,143274.6,143416.2,144803.2,145666.6,146913.2,149280.4,151077.1,152288.2,152771.1,155419.2,156078.2,156507.5,158546.7,160144.2,161754.8,163218.1,164961.8,166619.6,167350.6,168711.5,169419.1,169544.3,169903.1,170544.2,171085.1,171079.5,171556.3,172713.4,173720.9,174377.6,174080.2,174001.7,173920.7,174559.4,174156.6,171564.8,167770.6,168914.3,170160.9,171265.2,172375.5,174940.2,177153,178309.7,179713.9,180378.2,181856.9,184038,188843.7,191145,194074.2,195268.2,196913.9,199508.9,198846.3,197862.1,197650.6,197383.5,196490.9,196005.6
"Other loans and leases: All other loans and leases, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3305NLGDM,B3305NLGDM,295575.6,290981.7,289210.3,286259.7,289418.7,294176,292568.9,296793.6,303607.4,304865.8,311823.8,321480.5,314667.9,314421.7,315101.1,318210.3,322578.3,323131.7,321366.6,320364.2,318275.8,277281,284848.2,296994.2,291709,287001.5,288605,292813.4,291983.8,292601.9,296077.2,308544.5,316914.4,323428,332328.8,336623,336564.6,345369.5,355870.5,354291.4,350025,341655.9,343745.2,338619.1,376575.6,382721.9,362656.6,359839.7,340926.3,335930.2,323508.2,317885.4,319992.5,322261.3,322200,311687.7,313888.8,308570.4,310044.5,308070.2,303035.6,297219.4,308569,338706.2,336628.8,342444.4,340009.9,340427.3,341039.3,346723.6,351502.8,361531,366152,363059.3,367234.9,369289.4,369031.8,373262.3,380545.4,385031.4,392285.3,402735.2,408642.2,420139.4,418483.8,412510.8,410192.8,413849.3,417570.5,427302,434914.7,439262.7,443654.8,445570.5,444613.9,452092,457772.8,457358.5,453701.6,462605.5,469495.6,478057,486574.4,491622.7,499783.2,507815.3,516163.6,528503.3,528719.7,528538.3,536034.9,537604.7,543214.3,553216.4,559686.3,569842.3,577254.4,586791.6,594474.9,608216.8,622743.3,621547.4,626177.2,633091.5,639925.6,650713.2,657177.8,665849.3,674458.4,686955.3,690457,710310,712842.7,710041.4,713058.3,718411.5,720951.8,727805.8,731555.8,729511.6,736028.5,740757.7,744240.8,751997.4,749011.4,746297.5,750545.8,749347.7,755085.5,759560.1,768691.2,769438.4,778518.2,784081.4,789440.1,799950,798843.9,796927.5,798366.5,800190.7,803015,812245.7,813706.5,812948.5,817090.3,822173.6,819815.7,849724.3,852887.4,850295.6,848588.2,850542,852410.1,866791.7,865277.8,869256.3,874835.2,881190.3,885614.4,906109.3,904777.4,908012.3,972184.6,989199.2,969285.5,952073.7,925064,918986.2,938561.9,936399.4,958859.2,982130.2,968640.3,969801.5,978226.9,986750.3,1003227,1023163.2,1036900.1,1047559.5,1065984,1072411.7,1087011.7,1126955.2,1132607.7,1128873.5,1142572.6,1144220.1,1162551.6,1183538,1185604,1193309.6,1206083.9,1219325.5,1232957,1240521.7,1221659.6,1216636.5,1227838.4
"Other loans and leases: All other loans and leases: Loans to nondepository financial institutions, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1030NLGDM,B1030NLGDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189294.6,190230.8,191619.6,195517.5,198780.7,204544.4,210101.1,214436.9,216930.4,226004.3,226721.8,235680.9,232584.7,235330.9,235555.5,239186.6,240225.6,245937.7,250524.4,248321.1,250692.7,252751.1,254956.7,258649.5,254327.2,255553.9,256949.2,257856.1,261627.2,263770.8,269781.8,269239.8,275417.9,281417.8,286055.3,287643.9,287195.4,288130.6,290708.3,297186.8,297544,304966.6,312839,315526.2,320384.3,327495.1,329387.5,341747.1,346871.2,349205.3,346674.4,346504.7,349641.1,354552.1,358699.5,364185.5,371844.3,379328.1,383407.6,393375.2,391805.8,396908.6,433020,455287.5,438531.3,419613.6,403740.9,405662.2,418416.9,420163.6,426001.6,436256.2,441330.7,443671.1,449492.5,459625.3,472014.3,485765.3,499563.1,506175.9,519366.9,522499.9,532682,558859.9,563382.5,560125.4,566007.1,563905.1,574034,585244.1,587896.3,597155.8,608504.6,614109.3,627033.5,632960.1,620280.5,618080.7,627105.4
"Other loans and leases: All other loans and leases: Other loans not elsewhere classified, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1310NLGDM,B1310NLGDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433448.7,431316.6,434557.6,437574,441144.9,446168.8,447076.6,451412.4,457528.1,460951,463735.3,474629.1,480258,474710.4,477502.8,479224.9,480726.1,481868.1,481031.4,481190.4,485335.9,488006.6,489284,493347.9,494684.3,490743.6,493596.7,491491.6,493458.3,495789.3,498909.5,500198.7,503100.3,502663.6,503384.8,512306.1,511648.5,508796.9,507658.2,503003.9,505471.1,507279.1,500867.4,497422.3,496706,494678.4,490428.2,507977.2,506016.2,501090.4,501913.8,504037.4,502769,512239.6,506578.3,505070.8,502991,501862.2,502206.9,512734.1,512971.6,511103.7,539164.6,533911.7,530754.2,532460.2,521323.1,513324,520144.9,516235.8,532857.6,545874,527309.6,526130.5,528734.3,527125,531212.7,537397.9,537337,541383.6,546617.2,549911.8,554329.8,568095.3,569225.2,568748.1,576565.6,580315,588517.6,598293.9,597707.8,596153.8,597579.3,605216.2,605923.5,607561.6,601379.2,598555.8,600733
"LESS: Allowance for loan and lease losses, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1043NLGDM,B1043NLGDM,46966.4,47039.1,46400.6,45662.6,45553.8,45478.1,45102.1,45251.6,45645.4,45543.9,45502.5,45327.4,44137.3,44360.2,44968.6,44652,44910.8,44889.7,44517.2,44497.5,44346.7,44443,44214.8,44971.7,44158.5,44080.1,43815.1,44128.4,44381.4,44651.5,45435.6,45779.7,46460.5,48023.8,49306.2,52239.6,56746.4,59403.3,61237.8,68915.4,70574.1,74272.2,81170.4,82970.4,87109.9,95252.4,98974.4,103333.3,110078.8,114458.3,120680.6,124959.2,132597.8,137512.5,143148.6,146584.3,147860.4,150456.1,154634.4,153918.6,153143.9,154457,160031.3,184608.4,184437,181711.2,175100.9,175458.9,173711.7,167415.9,167091.6,163063.3,158953,159280.1,157054.3,150092.3,149669.4,145994.1,142046.3,141042.5,138145.9,135907.3,135278.5,134198,132588.6,130668.5,127868.9,124137.5,123304.8,121535.2,117964.1,117623.2,115620.9,110983.2,110202.7,107950.1,105645.2,105550.6,103256.5,100708.1,100607,98853.7,96025.6,95197.2,93854.4,90845.3,90423.4,88841.7,85661.8,85421.4,84433.7,82945.1,82844.9,81760.8,80180.4,79762.3,79162.8,77784.9,77226,76099.1,75243.1,74852.6,74128.7,73598.4,73480.9,72953.3,72726.9,73864.4,73289.8,72915.4,72921.3,72871.6,72296.9,72505.4,72492.4,73390.8,73346.6,73366.9,73689,73588.1,73409,73813.7,73864.3,73764.8,73389.8,73445.2,73445.7,72958.6,72899.9,72755.6,72682.2,72771.4,72870.9,73430.4,73613.5,73577,72867.2,72877,72790.5,72416.7,72391.7,72391.1,71536.3,71299.8,71410.4,71101.8,71221.7,71284.7,71554.6,71788.9,71845.2,72369.4,72185.3,72169.4,71837,71946.1,72066.8,72335.7,72378.3,70751.6,71287.3,72068.3,74193.4,96990.5,120057.8,127408.9,150257.3,151535.7,151965.2,150107.3,149851.2,148732.6,147163.3,146858.7,143366.2,129439.2,128550.1,125437.8,115220.6,114788.9,114096.8,108182.3,108178.8,107247.2,102496.7,102516.6,102193.7,100015.3,100135,100415.4,102793.6,103178.7,103791.4,107599.5,108071.8,109401.4,112911.2,112277.3,113599.1
"Cash assets, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1048NLGDM,B1048NLGDM,213582.8,199330.4,206836.7,199450,206804.5,210080.9,206614.8,198546.2,210161.7,208197.4,207410.4,222228.4,218353.9,205016.9,199805.9,203328.5,196207.5,195806,195576.8,181909.6,190046.8,200993.9,200593,212352.2,210218.6,202919,190295.5,197115.1,192764.8,193283.2,189282.9,183005.9,194760.4,187755.3,201651.9,208946.1,206190.3,196993.3,190345.6,196985,195728.5,187778.6,184928.9,180793.3,249912.1,382966.3,493499.3,577915.8,553690.5,476062.7,538209,588572.8,612512.4,579927.9,551879.9,549345.3,595798.5,669333,713460,681331.1,601596.3,649457,652170.1,645669.4,650153.1,614059.7,587008.6,541953,540165.8,546945.7,539571.4,558280.2,520103.7,596243.9,617002.6,582462.7,576204,641500.5,705399.6,668016.2,641141.9,602940.1,598426.5,649997.5,627596.7,648556.4,634616.1,590628.1,584036.5,631938.5,630475.5,625610.5,621591.9,625801,665335.2,701362.8,620449.4,661696,743006.9,747122.9,776968.6,810265.5,861764.3,902476.8,950582.2,1041080.8,1060011.9,1090481,1065891,1058185.4,1066271.3,1084496.6,1077837.8,1124115.4,1152923.9,1174625.3,1233731.3,1189733.7,1266087.3,1318073.1,1282048.1,1295094.5,1338681.8,1298984.5,1209165.7,1185876.6,1211598.7,1227731.1,1195958.8,1179042.3,1194250.4,1155718.4,1131899.3,1160121.7,1183705.3,1212803.4,1186279.9,1198576.5,1166840.3,1181972.6,1173082.8,1115182.9,1123301.8,1126529.5,1116477.5,1152134.9,1224562.8,1164594.6,1127327.4,1157053.5,1181043.9,1191954.5,1186001.1,1141646.3,1163797,1199125.5,1116085.6,1120729.7,1102744.1,1065466.3,1048955.9,1044986.8,1042965.7,1046212,1043263.8,1011127.6,974082.6,927496.3,840269.9,849100.9,893929.4,857762.6,841276.4,821382.5,809244.4,799226.8,766209.7,797023.7,816306.4,845140.8,803598.3,810962.8,1045808.2,1497750.2,1735627.5,1704231.6,1529091,1609252.5,1595100.2,1623613.8,1693102.2,1784665,1713637.8,1778992.3,1995220,2000189.4,1974204.3,1920211.3,1940551.7,2016772,2032642.1,1962104.9,1963394.8,2004267.9,1766630.7,1718680.5,1769155.4,1575512,1458768.9,1446631.1,1478052.4,1443561.9,1409775.8,1361180.7,1356579.1,1410989.7,1342226.6,1282819.6,1516345.3
"Total fed funds sold and securities purchased under agreements to resell, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B3092NLGDM,B3092NLGDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212080.9,226191.7,219029.4,192837.2,194643.9,190192,184453.5,191819.9,196596.3,205851.4,203713.7,208313.5,192943.9,180778.4,171487.1,168763.5,177974.1,174460.3,178440.3,189521.5,193600.1,205425.5,212241.9,208374.4,207821.2,206159.7,192800.8,176697.5,183218.3,190286.5,185439.2,180875.2,186304.2,201921.5,190538.6,203436.5,201290.5,193602.2,194256.8,179404.2,172239.8,174253.6,175344.7,169473.8,172706.9,157861.4,155897.5,162038.9,163987.9,163475.1,159550.5,148504.5,146997.7,147487.6,151980.8,153002.8,151292.7,153254,142967.6,138957.8,146841.4,143710.7,144933.8,138218.6,132065,137914.6,132879.2,134504.5,141983.2,136147.8,129422.3,144211.6,126697.6,119800.5,128141.9,122984.8,118059,133839.7,128423.7,132622.5,150091.7,142977.6,139429.5,161327.2,136275.9,119654.5,115073.8,108986.9,113878.1,122169.6,118687.6,119336.3,121627.1,119405.7,117561,123849.1,122665.2,116553.9,142022.4,121573.5,130048.7,134781.9,132902.7,160858,162628.4,197179.1,232199.3,309834.2,279570.2,259686.2,286643.7,302040.4,302917.2,336963.4,312273.5,312531.3,311513.7,321266.4,286096.2,283138.8,269862.7,269685,277642.7,242884.5,251583.1,390654.8,510815.7,436548,453426.9,419550,420242.3,448744.4,413495.8,315838.1,230810,237415.6,232145.3,246233.5,227488.2,239330.2,238958.2,242079.1,252853.2,261254.6,252481.1,242936,242747.7,235951.5,225289.3,231709.7,239057.3,230676.4,243513.4,244436.5,254127.1,253774.6,256016.9,230757.2,225911.8
"Loans to commercial banks, large domestically chartered commercial banks, not seasonally adjusted",Currency,1000000,USD,H8/H8/B1047NLGDM,B1047NLGDM,64842.2,69787.7,72032.7,71431.7,72960.7,71621.4,73046.5,71313.7,68800.6,67508,69884.3,71289.3,72167,73729.9,76733.5,68221.3,63504.9,63212.6,62419,61501,62688.4,71332.6,68533.9,78781.9,76560.5,76907.1,82003.5,78031.4,72496.6,70210.6,69616.3,71568.4,69794.8,68368.7,74096.6,76245,72541.9,79275.4,73457,73887.2,71982,72131.1,63465.9,63213.3,61102.3,65706.7,63883.7,53804.4,53554.6,50148.3,47116.1,60026.4,67055.1,64898.9,70597.2,80326,81509.4,77278.6,57186.4,57511,55888.9,55589.9,44462.3,16538.2,11472,11344.4,12641.9,13444,17075,26760.7,25417.2,27998.9,26622.1,24205.7,23561.2,21610.2,21629.9,31147.6,5964,6318.5,6212.2,6898.7,6820.9,7729.7,8174.7,8497.4,8687.4,8637.4,7888.7,8018.5,8206.5,8098,8209.7,8090.1,8261.7,8168.9,8357.6,8259.8,8703,8861.9,8631.1,8515.6,8633.4,8828.1,9405,9575.4,6797,6528.8,7311.4,7261.6,7211.6,6867.6,7236.3,7225.1,6601.6,6554.5,6726,5860.2,5791,6505,8325.6,8064.8,7426.8,8198.9,8584.5,8612.4,6860.6,6874.1,6854.5,6812.1,7078.2,7533.6,7303.9,7094.4,7653.2,9267.5,9266.5,9330.3,9767.3,10185.3,10208.4,9673,9438.5,9511,9447.9,9239.7,9155.6,9113.9,9177.6,9482.6,9400.2,9300.6,9043.7,8983.6,8858.2,9097.9,9176.5,9291.4,9272.9,9740.7,11222.7,11417.5,11161.8,11126,11066.1,10939.1,10880.6,12516.3,13643.5,13850.4,13460.7,11925,9096.4,5867.4,4338.5,4601.1,4806.3,4667.1,4778,5282.8,4672.8,4573.1,4957,4994.6,4768.6,4466.3,4164.5,4071.2,4788.3,7708.2,7600.9,7663.2,7841.8,7765.4,6943.4,3867.8,3860.1,4138.7,4088.3,4025.6,4021.6,3966.6,4073.3,4473.9,9213.5,4168.8,4588.9,5690.1,6641.4,6447.2,6405.8,6766.3,6343.5,4608.9,4639.3,4744.3,4786.6,4682.5,5938.8
